state,county,majority,trump16,clinton16,otherpres16,romney12,obama12,otherpres12,demsen16,repsen16,othersen16,demhouse16,rephouse16,otherhouse16,total_population,cvap,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,age_under_5_2017,age_over_65_2017,median_age_2017,female_2010,white_2010,black_2017,native_2017,asian_2017,pac_isl_2017,other_single_race_2017,two_plus_races_2017,hispanic_2017,white_not_hispanic_2017,speak_english_only_2017,women_16_to_50_birth_rate_2017,hs_grad_2017,some_college_2017,bachelors_2017,veterans_2017,mean_work_travel_2017,broadband_2017,computer_2017,households_2017,persons_per_household_2017,per_capita_income_2017,median_household_income_2017,poverty_2017,poverty_age_under_5_2017,poverty_age_under_18_2017,uninsured_2017,uninsured_age_under_6_2017,uninsured_age_under_19_2017,uninsured_age_over_74_2017,civilian_labor_force_2017,employed_2017,unemployed_2017,unemployment_rate_2017,age_over_18_2019,age_over_65_2019,age_over_85_2019,age_under_5_2019,asian_2019,avg_family_size_2019,bachelors_2019,black_2019,hispanic_2019,household_has_broadband_2019,household_has_computer_2019,household_has_smartphone_2019,households_2019,households_speak_asian_or_pac_isl_2019,households_speak_limited_english_2019,households_speak_other_2019,households_speak_other_indo_euro_lang_2019,households_speak_spanish_2019,housing_mobile_homes_2019,housing_one_unit_structures_2019,housing_two_unit_structures_2019,hs_grad_2019,mean_household_income_2019,mean_work_travel_2019,median_age_2019,median_household_income_2019,median_individual_income_2019,median_individual_income_age_25plus_2019,native_2019,other_single_race_2019,pac_isl_2019,per_capita_income_2019,persons_per_household_2019,pop_2019,poverty_2019,poverty_65_and_over_2019,poverty_under_18_2019,two_plus_races_2019,unemployment_rate_2019,uninsured_2019,uninsured_65_and_older_2019,uninsured_under_19_2019,uninsured_under_6_2019,veterans_2019,white_2019,white_not_hispanic_2019
Alabama,Autauga,Trump,18172,5936,865,17379,6363,190,6331,18220,62,7544,14315,2258,55049,40690,75.68348199,18.37090592,2.57225381,24.31651801,1.838362186,51.17622482,40.03705789,13.97845556,53099,5.591657263,12.41704602,75.40722865,10.00211164,74.06560146,42.00216232,5.7,14.3,37.8,51.3,78.5,9.55,0.15,0.47,0.04,0.65,0.84,2.67,75.42,96.2,7.4,87.7,29.1,25,12.6,25.8,76.6,86.2,21054,2.59,27841.7,55317,13.7,17.2,20,8.8,1.1,3.2,0,25909,24908,1001,3.86,76.2,15,1.6,5.8,1,3.09,26.6,19,2.8,80.6,73,78.4,21397,1.8,0.7,0.2,0.3,2.9,26.7,17.3,73.3,88.5,75326,24.4,38.2,58731,29725,40778,0.3,0.7,0,29819,2.56,55380,15.2,8.7,23.2,2.2,3.5,7.1,0,1.7,1.70,12.6,76.8,74.6
Alabama,Baldwin,Trump,72883,18458,3874,66016,18424,898,19145,74021,248,0,76995,1991,199510,151770,83.17878803,9.225602727,4.366698411,16.82121197,3.2695103,51.19492757,35.47441231,18.71485139,51365,6.286843229,9.972417933,70.45288897,7.842226994,68.40560728,42.27909911,5.7,19,42.6,51.1,85.7,4.77,0.41,0.35,0,0.39,0.82,4.44,83.08,94.5,5.1,90.2,31.6,30.7,11.9,27,74.5,86.9,76133,2.63,27779.85,52562,11.8,19.4,15.9,10.8,2.4,3.5,0.4,91567,87915,3652,3.99,78.3,20,1.9,5.5,0.9,3.24,31.9,9.3,4.6,81.8,76.3,81.7,80930,0.6,1.2,0,1.8,4.6,24.8,11.5,75.2,90.8,80986,,43,58320,29802,37897,0.8,1.1,0,32626,2.59,212830,10.4,7.4,13.4,1.7,4,8.9,0.3,3.8,2.20,11.8,86.2,83.1
Alabama,Barbour,Trump,5454,4871,144,5550,5912,47,4777,5436,16,5297,4286,463,26614,20375,45.88562411,47.88832945,4.30976178,54.11437589,2.85939731,46.49808372,37.66438716,16.52889457,33956,12.82473827,26.23592756,87.13221298,19.57975167,81.36474583,67.7896347,5.5,17.4,39.7,46.9,48,24.02,0.1,0.31,0,1.87,0.41,4.21,45.74,94.3,7.2,73.1,25.5,12,8,23.4,57.2,73.4,9191,2.54,17891.73,33368,27.2,56.8,44.9,12.3,4.1,4.6,0,8236,7750,486,5.9,79.1,18.6,1.6,5.3,0.5,3.01,11.6,47.6,4.4,60.5,51.9,64.2,9345,0.6,1.6,0,1.1,5.2,39.1,26.1,60.9,73.2,47068,,40.4,32525,17963,27434,0.3,3.6,0,18473,2.41,25361,30.7,16.8,50.1,1.2,9.4,11.3,0.3,3.3,3.40,6.6,46.8,45.8
Alabama,Bibb,Trump,6738,1874,207,6132,2202,86,2082,6612,17,1971,6670,15,22572,17590,74.76519582,21.21212121,2.223994329,25.23480418,1.351231614,46.46464646,37.3294347,14.8856991,39776,7.14682672,19.3015873,88,15.02049009,87.47177386,68.35260746,5.7,15.1,39.8,46.3,75.8,11.03,0.18,0,0,0.02,0.42,2.35,74.62,97.8,7.6,82.1,25,13.2,7.4,30,62,74.8,6916,2.97,20572.05,43404,15.2,21.6,25.9,8.1,2.7,1.8,0,8506,8133,373,4.39,79.4,15.9,2,5.8,0.1,3.74,10.4,22.3,2.6,69.2,54.7,66.6,6891,0,0.6,0,0.5,1.9,25.6,29.7,74.4,79.1,60182,,40.9,47542,21958,28789,0.1,0,0,20778,2.99,22493,,,,0.6,7,10.7,0,2,4.50,8,76.8,74.5
Alabama,Blount,Trump,22859,2156,573,20757,2970,279,2980,22169,48,2390,22367,47,57704,42430,87.65770137,1.557950922,8.727297934,12.34229863,4.271800915,50.48523499,37.24005268,17.19291557,46212,5.953832753,19.96858533,86.95024321,16.64336837,86.16360993,89.95150204,6.1,17.4,40.9,50.5,92.6,0.79,0.18,0.07,0,0.37,0.85,9.01,87.37,92.3,5.6,79.8,34.4,13.1,9.6,35,65.8,78.2,20690,2.76,21367.39,47412,15.6,29.5,25.3,11,3.9,5.7,0.2,24494,23509,985,4.02,76.8,17.9,1.8,5.9,0.4,3.33,13.1,1.6,9.3,73,63.5,70.1,20847,0.1,1.8,0.2,0.9,6.6,21.2,24,78.8,80.5,65639,,40.7,49358,26976,39004,0.1,0.9,0,24747,2.74,57681,13.6,10.9,18.4,1.6,3.1,10.8,0.2,5.9,6.10,7.7,95.5,86.9
Alabama,Bullock,Biden,1140,3530,40,1251,4061,10,3364,1167,6,3517,889,80,10552,8195,21.68309325,75.50227445,0.123199393,78.31690675,1.516300227,45.80174375,37.93593632,15.13457165,29335,13.25852037,33.43788354,89.74498841,11.7803838,79.15778252,51.37438153,5.8,15.2,40.8,45.8,23,37.82,0.52,0.35,0,0.01,0.33,0.33,21.61,97.2,3.5,71.4,21.3,13.4,4.5,29.8,49.4,64.2,3670,2.74,15444.16,29655,28.5,59.7,50.2,14.1,0,1.2,0,4812,4575,237,4.93,79.2,16,1.7,5.3,0.5,3.3,12.1,74.8,2.6,60.1,52.5,70.6,3521,0.4,1.4,0,1.6,3.6,28.9,39.3,71.1,74.7,48571,27.2,40.2,37785,21571,29516,0,2,0,20877,2.79,10248,,,,0.8,4.1,11.4,0,1,2.10,3.3,21.9,21.4
Alabama,Butler,Trump,4901,3726,105,5087,4374,35,3663,4840,7,4088,3918,321,20280,15425,52.78106509,43.51577909,1.247534517,47.21893491,1.395463511,53.04733728,37.05621302,18.12623274,34315,9.804827347,18.94042584,83.91999426,14.60417986,80.07599747,71.23215735,5.9,18.5,40.7,53,54.4,22.43,0.03,0.56,0,0.03,0.74,0.32,52.25,98.5,4.8,81.1,24.5,16.1,8.4,23.2,58.2,68.3,7050,2.81,17014.95,36326,24.4,30.1,34.8,11.4,1.5,2.8,0,8946,8455,491,5.49,77.5,19.7,2.6,5.8,0.3,3.78,16.1,45.4,1.4,64.6,60.5,57.1,6506,0.2,0.3,0,0.6,1.4,30,24.9,70,85,55971,23.7,40.8,40688,19685,27354,0.1,0.2,0,21038,3,19828,,,,2.1,7,8.7,0,2.3,0.50,6.6,51.8,51.6
Alabama,Calhoun,Trump,32865,13242,1757,30278,15511,468,14152,32976,69,14000,33175,75,115883,88525,72.99776499,20.33171388,3.436224468,27.00223501,2.39379374,51.89803509,38.78308294,15.93072323,41954,11.6818216,17.66313675,82.34703347,16.39951086,81.64061209,33.69682556,5.7,16.5,39.1,51.8,74.9,10.27,0.18,0.5,0,0.63,1.14,3.57,72.72,95.9,5.2,83.2,33.2,17.9,10.9,24.8,71,82.9,45099,2.49,23609.64,43686,18.6,31.1,26.3,10.4,0.3,1.8,0,45582,43333,2249,4.93,78.2,17.2,1.8,5.8,0.9,3.03,18.5,20.8,3.8,75.1,67.8,74.9,44605,0.8,0.9,0.1,0.8,3.1,29.9,13.8,70.1,84.4,63417,,39.6,47255,24069,32473,0.3,1.9,0,25345,2.5,114618,17.9,9.7,25.6,2.4,7.2,9.5,0.2,2.4,1.00,10.8,73.7,72.1
Alabama,Chambers,Trump,7843,5784,273,7626,6871,114,5845,7865,18,5796,7907,16,34018,26480,56.74348874,40.47857017,0.43506379,43.25651126,0.990652008,52.08713034,35.87218531,18.38732436,36027,7.489945276,19.73673179,87.51572063,15.29535128,83.85879063,49.14803449,6.1,18.6,43,52.2,58.8,19.67,0.14,0.5,0,0.35,0.49,2.15,56.19,98.6,4.3,80.9,29.1,13.3,9.2,23.6,62.8,72.7,13694,2.44,21079.51,37342,18.8,31.9,28.9,12.2,6,4.7,0,15176,14557,619,4.08,79,19.2,1.9,6.1,1.1,3.1,13.3,39.6,2.4,69.4,58.6,68.7,13448,1,0.9,0,0.5,1.4,32.5,13.4,67.5,81.6,53505,23.7,42,42289,22754,31860,0.3,0.3,0,22729,2.46,33660,17.3,11.4,25.5,1,4,10.3,0.4,5.4,8.10,7.9,57.7,55.5
Alabama,Cherokee,Trump,8953,1547,233,7506,2132,141,1915,8636,7,1702,8707,12,25897,20505,91.87164536,4.606711202,1.563887709,8.128354636,0.725952813,50.25292505,32.71035255,20.32281731,38925,5.855731043,18.71723548,86.03830106,19.25640731,85.78324331,85.73627304,4.5,21,46.1,50.4,92.7,2.49,0.24,0.1,0,0.1,0.52,1.58,91.78,99,3.8,79.5,28.9,12.5,11.3,26.5,67.5,79.4,10795,2.37,23067.93,40041,16.1,12.8,20.1,9,1.8,3.4,0,11174,10721,453,4.05,79.8,22.4,2,4.6,0.2,2.94,12.8,4.6,1.6,70.7,57.3,71.4,10737,0.5,1.1,0.1,0.1,2,22.7,24.6,77.3,81.6,57617,,46.5,41919,23121,32245,1.1,0.4,0,24301,2.39,25903,,,,0.9,4.4,8.6,0.2,0.8,0.60,9.1,92.9,91.7
Alabama,Chilton,Trump,15081,2911,377,13932,3397,133,3327,14582,25,2996,14723,12,43817,31555,80.61026542,10.00981354,7.624894447,19.38973458,5.557203825,50.79763562,38.83424242,15.24978889,42594,7.938580456,19.90247183,85.14545149,17.84979216,84.38193632,86.74472424,6.5,15.5,38.9,50.5,84.1,4.78,0.29,0.21,0,2.19,0.87,7.7,80.37,92.3,7.1,81.8,23.3,15.1,9,32.5,56.6,73.8,16768,2.59,22793.82,43501,19.4,30.9,27.6,14.8,3.7,5.7,1.8,19118,18344,774,4.05,75.9,16,1.4,6.3,0.4,3.06,12.7,9.2,7.8,68.7,58.7,69.1,16927,0.3,1.5,0,0.8,6.1,25.5,33.4,74.5,81.8,62784,32.1,38.7,47468,24132,33225,0.8,3.5,0,24658,2.58,44055,19.1,11.6,22.7,2.5,6.5,13,0.5,4.8,1.20,7.6,83.6,80.1
Alabama,Choctaw,Trump,4106,3109,77,4152,3786,30,2992,4035,8,4332,0,94,13287,10515,56.20531346,42.22924663,0.55693535,43.79468654,0.165575374,52.21645217,33.40106871,20.74960488,32622,13.6428137,21.14733277,88.03979678,17.68893757,87.45892662,100,5,21.5,45.8,51.7,55.8,21.17,0.02,0.03,0,0.03,0.49,0.54,56.26,98.9,4.6,80.1,28.6,11.6,9.2,32.7,52.3,70.4,5463,2.38,20363.87,32122,22.3,25.5,32.8,11,0,1.1,0,4336,4059,277,6.39,79.9,22.6,2.3,5.3,0.1,3.07,11.9,42.6,0.4,61.3,59.1,63.7,5300,0,0,0,0.7,1.5,19.1,29.1,80.9,81.4,52395,34.5,46.3,35892,20652,32442,0.1,0.1,0,22308,2.4,12925,,,,0.4,8.7,10.3,0,1.5,1.70,8.6,56.8,56.4
Alabama,Clarke,Trump,7140,5749,142,7470,6334,47,5558,7158,14,5214,2848,127,24847,19195,53.17744597,45.49442589,0.173059122,46.82255403,0.466857166,52.75888437,36.60401658,18.06254276,32735,17.08333333,18.95781929,87.86276583,14.13699771,82.0841141,75.98033523,5.5,18.5,42.2,52.7,54.5,22.83,0.03,0.26,0.04,0,0.22,0.24,53.02,98.8,2,81.5,24.2,13,6.5,23.9,47.3,58.7,9602,2.53,20099.21,33827,25.3,35.1,30.3,10.9,1.7,1.9,0,7720,7065,655,8.48,78.1,19.4,2.4,5.7,0.4,3.46,12.2,45.8,0.3,57.5,52.5,56.8,9090,0.4,0.1,0,0.2,0.6,29.9,26.2,70.1,80.6,54687,26.6,42.5,37404,21613,37329,0.1,0,0,22225,2.61,24128,,,,0.7,11.6,9.7,1.9,1.4,2.90,6.2,53,52.7
