"`""state""",trump16,clinton16,otherpres16,romney12,obama12,otherpres12,demsen16,repsen16,othersen16,demhouse16,rephouse16,otherhouse16,total_population,cvap,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,fips,name,age_under_5_2017,age_over_65_2017,median_age_2017,female_2010,white_2010,black_2017,native_2017,asian_2017,pac_isl_2017,other_single_race_2017,two_plus_races_2017,hispanic_2017,white_not_hispanic_2017,speak_english_only_2017,women_16_to_50_birth_rate_2017,hs_grad_2017,some_college_2017,bachelors_2017,veterans_2017,mean_work_travel_2017,broadband_2017,computer_2017,households_2017,persons_per_household_2017,per_capita_income_2017,median_household_income_2017,poverty_2017,poverty_age_under_5_2017,poverty_age_under_18_2017,uninsured_2017,uninsured_age_under_6_2017,uninsured_age_under_19_2017,uninsured_age_over_74_2017,civilian_labor_force_2017,employed_2017,unemployed_2017,unemployment_rate_2017,age_over_18_2019,age_over_65_2019,age_over_85_2019,age_under_5_2019,asian_2019,avg_family_size_2019,bachelors_2019,black_2019,hispanic_2019,household_has_broadband_2019,household_has_computer_2019,household_has_smartphone_2019,households_2019,households_speak_asian_or_pac_isl_2019,households_speak_limited_english_2019,households_speak_other_2019,households_speak_other_indo_euro_lang_2019,households_speak_spanish_2019,housing_mobile_homes_2019,housing_one_unit_structures_2019,housing_two_unit_structures_2019,hs_grad_2019,mean_household_income_2019,mean_work_travel_2019,median_age_2019,median_household_income_2019,median_individual_income_2019,median_individual_income_age_25plus_2019,native_2019,other_single_race_2019,pac_isl_2019,per_capita_income_2019,persons_per_household_2019,pop_2019,poverty_2019,poverty_65_and_over_2019,poverty_under_18_2019,two_plus_races_2019,unemployment_rate_2019,uninsured_2019,uninsured_65_and_older_2019,uninsured_under_19_2019,uninsured_under_6_2019,veterans_2019,white_2019,white_not_hispanic_2019,state_Alabama,state_Alaska,state_Arizona,state_Arkansas,state_California,state_Colorado,state_Connecticut,state_Delaware,state_District of Columbia,state_Florida,state_Georgia,state_Hawaii,state_Idaho,state_Illinois,state_Indiana,state_Iowa,state_Kansas,state_Kentucky,state_Louisiana,state_Maine,state_Maryland,state_Massachusetts,state_Michigan,state_Minnesota,state_Mississippi,state_Missouri,state_Montana,state_Nebraska,state_Nevada,state_New Hampshire,state_New Jersey,state_New Mexico,state_New York,state_North Carolina,state_North Dakota,state_Ohio,state_Oklahoma,state_Oregon,state_Pennsylvania,state_Rhode Island,state_South Carolina,state_South Dakota,state_Tennessee,state_Texas,state_Utah,state_Vermont,state_Virginia,state_Washington,state_West Virginia,majority_Biden,majority_Trump
Alabama,18172,5936,865,17379,6363,190,6331.0,18220.0,62.0,7544.0,14315.0,2258.0,55049.0,40690.0,75.6834819887736,18.3709059201802,2.57225381024178,24.3165180112264,1.83836218641574,51.1762248178895,40.0370578938764,13.9784555577758,53099.0,5.59165726292852,12.4170460154665,75.4072286513465,10.0021116351095,74.065601464067,42.0021623206465,1001,Autauga County,5.7,14.3,37.8,51.3,78.5,9.55,0.15,0.47,0.04,0.65,0.84,2.67,75.42,96.2,7.4,87.7,29.1,25.0,12.6,25.8,76.6,86.2,21054.0,2.59,27841.7,55317.0,13.7,17.2,20.0,8.8,1.1,3.2,0.0,25909.0,24908.0,1001.0,3.86,76.2,15.0,1.6,5.8,1.0,3.09,26.6,19.0,2.8,80.6,73.0,78.4,21397,1.8,0.7,0.2,0.3,2.9,26.7,17.3,73.3,88.5,75326,24.4,38.2,58731,29725,40778,0.3,0.7,0.0,29819,2.56,55380,15.2,8.7,23.2,2.2,3.5,7.1,0.0,1.7,1.7,12.6,76.8,74.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alabama,72883,18458,3874,66016,18424,898,19145.0,74021.0,248.0,0.0,76995.0,1991.0,199510.0,151770.0,83.1787880306752,9.22560272668037,4.36669841110721,16.8212119693248,3.26951030023558,51.1949275725528,35.4744123101599,18.7148513858954,51365.0,6.28684322938915,9.97241793263116,70.4528889714604,7.84222699350902,68.4056072751992,42.2790991139275,1003,Baldwin County,5.7,19.0,42.6,51.1,85.7,4.77,0.41,0.35,0.0,0.39,0.82,4.44,83.08,94.5,5.1,90.2,31.6,30.7,11.9,27.0,74.5,86.9,76133.0,2.63,27779.85,52562.0,11.8,19.4,15.9,10.8,2.4,3.5,0.4,91567.0,87915.0,3652.0,3.99,78.3,20.0,1.9,5.5,0.9,3.24,31.9,9.3,4.6,81.8,76.3,81.7,80930,0.6,1.2,0.0,1.8,4.6,24.8,11.5,75.2,90.8,80986,,43.0,58320,29802,37897,0.8,1.1,0.0,32626,2.59,212830,10.4,7.4,13.4,1.7,4.0,8.9,0.3,3.8,2.2,11.8,86.2,83.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alabama,5454,4871,144,5550,5912,47,4777.0,5436.0,16.0,5297.0,4286.0,463.0,26614.0,20375.0,45.8856241076125,47.8883294506651,4.30976177951454,54.1143758923875,2.85939730968663,46.4980837153378,37.6643871646502,16.5288945667694,33956.0,12.8247382706475,26.2359275575135,87.1322129765595,19.5797516714422,81.3647458346599,67.7896347015333,1005,Barbour County,5.5,17.4,39.7,46.9,48.0,24.02,0.1,0.31,0.0,1.87,0.41,4.21,45.74,94.3,7.2,73.1,25.5,12.0,8.0,23.4,57.2,73.4,9191.0,2.54,17891.73,33368.0,27.2,56.8,44.9,12.3,4.1,4.6,0.0,8236.0,7750.0,486.0,5.9,79.1,18.6,1.6,5.3,0.5,3.01,11.6,47.6,4.4,60.5,51.9,64.2,9345,0.6,1.6,0.0,1.1,5.2,39.1,26.1,60.9,73.2,47068,,40.4,32525,17963,27434,0.3,3.6,0.0,18473,2.41,25361,30.7,16.8,50.1,1.2,9.4,11.3,0.3,3.3,3.4,6.6,46.8,45.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alabama,6738,1874,207,6132,2202,86,2082.0,6612.0,17.0,1971.0,6670.0,15.0,22572.0,17590.0,74.7651958178274,21.2121212121212,2.22399432925749,25.2348041821726,1.35123161438951,46.4646464646465,37.3294346978558,14.8856990962254,39776.0,7.14682672001778,19.3015873015873,88.0,15.0204900894873,87.4717738563185,68.3526074623609,1007,Bibb County,5.7,15.1,39.8,46.3,75.8,11.03,0.18,0.0,0.0,0.02,0.42,2.35,74.62,97.8,7.6,82.1,25.0,13.2,7.4,30.0,62.0,74.8,6916.0,2.97,20572.05,43404.0,15.2,21.6,25.9,8.1,2.7,1.8,0.0,8506.0,8133.0,373.0,4.39,79.4,15.9,2.0,5.8,0.1,3.74,10.4,22.3,2.6,69.2,54.7,66.6,6891,0.0,0.6,0.0,0.5,1.9,25.6,29.7,74.4,79.1,60182,,40.9,47542,21958,28789,0.1,0.0,0.0,20778,2.99,22493,,,,0.6,7.0,10.7,0.0,2.0,4.5,8.0,76.8,74.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alabama,22859,2156,573,20757,2970,279,2980.0,22169.0,48.0,2390.0,22367.0,47.0,57704.0,42430.0,87.6577013725218,1.55795092194649,8.72729793428532,12.3422986274782,4.27180091501456,50.4852349923749,37.2400526826563,17.1929155691113,46212.0,5.95383275261324,19.9685853263073,86.950243210377,16.6433683739656,86.1636099306643,89.9515020411012,1009,Blount County,6.1,17.4,40.9,50.5,92.6,0.79,0.18,0.07,0.0,0.37,0.85,9.01,87.37,92.3,5.6,79.8,34.4,13.1,9.6,35.0,65.8,78.2,20690.0,2.76,21367.39,47412.0,15.6,29.5,25.3,11.0,3.9,5.7,0.2,24494.0,23509.0,985.0,4.02,76.8,17.9,1.8,5.9,0.4,3.33,13.1,1.6,9.3,73.0,63.5,70.1,20847,0.1,1.8,0.2,0.9,6.6,21.2,24.0,78.8,80.5,65639,,40.7,49358,26976,39004,0.1,0.9,0.0,24747,2.74,57681,13.6,10.9,18.4,1.6,3.1,10.8,0.2,5.9,6.1,7.7,95.5,86.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alabama,1140,3530,40,1251,4061,10,3364.0,1167.0,6.0,3517.0,889.0,80.0,10552.0,8195.0,21.683093252464,75.5022744503412,0.123199393479909,78.316906747536,1.51630022744503,45.8017437452616,37.9359363153904,15.1345716451857,29335.0,13.2585203657523,33.4378835401609,89.744988408564,11.7803837953092,79.1577825159915,51.3743815283123,1011,Bullock County,5.8,15.2,40.8,45.8,23.0,37.82,0.52,0.35,0.0,0.01,0.33,0.33,21.61,97.2,3.5,71.4,21.3,13.4,4.5,29.8,49.4,64.2,3670.0,2.74,15444.16,29655.0,28.5,59.7,50.2,14.1,0.0,1.2,0.0,4812.0,4575.0,237.0,4.93,79.2,16.0,1.7,5.3,0.5,3.3,12.1,74.8,2.6,60.1,52.5,70.6,3521,0.4,1.4,0.0,1.6,3.6,28.9,39.3,71.1,74.7,48571,27.2,40.2,37785,21571,29516,0.0,2.0,0.0,20877,2.79,10248,,,,0.8,4.1,11.4,0.0,1.0,2.1,3.3,21.9,21.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Alabama,4901,3726,105,5087,4374,35,3663.0,4840.0,7.0,4088.0,3918.0,321.0,20280.0,15425.0,52.7810650887574,43.5157790927022,1.24753451676529,47.2189349112426,1.39546351084813,53.0473372781065,37.0562130177515,18.1262327416174,34315.0,9.80482734726874,18.9404258369776,83.9199942648219,14.6041798606713,80.0759974667511,71.2321573495011,1013,Butler County,5.9,18.5,40.7,53.0,54.4,22.43,0.03,0.56,0.0,0.03,0.74,0.32,52.25,98.5,4.8,81.1,24.5,16.1,8.4,23.2,58.2,68.3,7050.0,2.81,17014.95,36326.0,24.4,30.1,34.8,11.4,1.5,2.8,0.0,8946.0,8455.0,491.0,5.49,77.5,19.7,2.6,5.8,0.3,3.78,16.1,45.4,1.4,64.6,60.5,57.1,6506,0.2,0.3,0.0,0.6,1.4,30.0,24.9,70.0,85.0,55971,23.7,40.8,40688,19685,27354,0.1,0.2,0.0,21038,3.0,19828,,,,2.1,7.0,8.7,0.0,2.3,0.5,6.6,51.8,51.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alabama,32865,13242,1757,30278,15511,468,14152.0,32976.0,69.0,14000.0,33175.0,75.0,115883.0,88525.0,72.9977649870991,20.3317138838311,3.43622446778216,27.0022350129009,2.393793740238,51.8980350871137,38.7830829371004,15.9307232294642,41954.0,11.6818215976554,17.6631367513762,82.3470334727502,16.3995108569918,81.6406120897643,33.6968255574672,1015,Calhoun County,5.7,16.5,39.1,51.8,74.9,10.27,0.18,0.5,0.0,0.63,1.14,3.57,72.72,95.9,5.2,83.2,33.2,17.9,10.9,24.8,71.0,82.9,45099.0,2.49,23609.64,43686.0,18.6,31.1,26.3,10.4,0.3,1.8,0.0,45582.0,43333.0,2249.0,4.93,78.2,17.2,1.8,5.8,0.9,3.03,18.5,20.8,3.8,75.1,67.8,74.9,44605,0.8,0.9,0.1,0.8,3.1,29.9,13.8,70.1,84.4,63417,,39.6,47255,24069,32473,0.3,1.9,0.0,25345,2.5,114618,17.9,9.7,25.6,2.4,7.2,9.5,0.2,2.4,1.0,10.8,73.7,72.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alabama,7843,5784,273,7626,6871,114,5845.0,7865.0,18.0,5796.0,7907.0,16.0,34018.0,26480.0,56.7434887412546,40.4785701687342,0.435063789758363,43.2565112587454,0.990652007760597,52.0871303427597,35.8721853136575,18.387324357693,36027.0,7.489945275928,19.7367317850256,87.515720633856,15.2953512757777,83.8587906326459,49.1480344877978,1017,Chambers County,6.1,18.6,43.0,52.2,58.8,19.67,0.14,0.5,0.0,0.35,0.49,2.15,56.19,98.6,4.3,80.9,29.1,13.3,9.2,23.6,62.8,72.7,13694.0,2.44,21079.51,37342.0,18.8,31.9,28.9,12.2,6.0,4.7,0.0,15176.0,14557.0,619.0,4.08,79.0,19.2,1.9,6.1,1.1,3.1,13.3,39.6,2.4,69.4,58.6,68.7,13448,1.0,0.9,0.0,0.5,1.4,32.5,13.4,67.5,81.6,53505,23.7,42.0,42289,22754,31860,0.3,0.3,0.0,22729,2.46,33660,17.3,11.4,25.5,1.0,4.0,10.3,0.4,5.4,8.1,7.9,57.7,55.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alabama,8953,1547,233,7506,2132,141,1915.0,8636.0,7.0,1702.0,8707.0,12.0,25897.0,20505.0,91.8716453643279,4.60671120206974,1.56388770900104,8.12835463567208,0.725952813067151,50.2529250492335,32.7103525504885,20.3228173147469,38925.0,5.85573104276346,18.7172354766235,86.0383010591634,19.2564073095047,85.7832433053672,85.7362730385933,1019,Cherokee County,4.5,21.0,46.1,50.4,92.7,2.49,0.24,0.1,0.0,0.1,0.52,1.58,91.78,99.0,3.8,79.5,28.9,12.5,11.3,26.5,67.5,79.4,10795.0,2.37,23067.93,40041.0,16.1,12.8,20.1,9.0,1.8,3.4,0.0,11174.0,10721.0,453.0,4.05,79.8,22.4,2.0,4.6,0.2,2.94,12.8,4.6,1.6,70.7,57.3,71.4,10737,0.5,1.1,0.1,0.1,2.0,22.7,24.6,77.3,81.6,57617,,46.5,41919,23121,32245,1.1,0.4,0.0,24301,2.39,25903,,,,0.9,4.4,8.6,0.2,0.8,0.6,9.1,92.9,91.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
